time	pop	freq	onset
10520	YAM	NA	12000
10490	EHG	0.0	12000
10490	ANA	0.0	12000
10490	EUR	0.0011	12000
10490	YAM	NA	12000
10460	EHG	0.0	12000
10460	ANA	0.0	12000
10460	EUR	0.0016	12000
10460	YAM	NA	12000
10430	EHG	0.0	12000
10430	ANA	0.0	12000
10430	EUR	0.0023	12000
10430	YAM	NA	12000
10400	EHG	0.0	12000
10400	ANA	0.0	12000
10400	EUR	0.0028	12000
10400	YAM	NA	12000
10370	EHG	0.0	12000
10370	ANA	0.0	12000
10370	EUR	0.0027	12000
10370	YAM	NA	12000
10340	EHG	0.0	12000
10340	ANA	0.0	12000
10340	EUR	0.003	12000
10340	YAM	NA	12000
10310	EHG	0.0	12000
10310	ANA	0.0	12000
10310	EUR	0.0039	12000
10310	YAM	NA	12000
10280	EHG	0.0	12000
10280	ANA	0.0	12000
10280	EUR	0.0036	12000
10280	YAM	NA	12000
10250	EHG	0.0	12000
10250	ANA	0.0	12000
10250	EUR	0.004	12000
10250	YAM	NA	12000
10220	EHG	0.0	12000
10220	ANA	0.0	12000
10220	EUR	0.0044	12000
10220	YAM	NA	12000
10190	EHG	0.0	12000
10190	ANA	0.0	12000
10190	EUR	0.0039	12000
10190	YAM	NA	12000
10160	EHG	0.0	12000
10160	ANA	0.0	12000
10160	EUR	0.0036	12000
10160	YAM	NA	12000
10130	EHG	0.0	12000
10130	ANA	0.0	12000
10130	EUR	0.0039	12000
10130	YAM	NA	12000
10100	EHG	0.0	12000
10100	ANA	0.0	12000
10100	EUR	0.0046	12000
10100	YAM	NA	12000
10070	EHG	0.0	12000
10070	ANA	0.0	12000
10070	EUR	0.0053	12000
10070	YAM	NA	12000
10040	EHG	0.0	12000
10040	ANA	0.0	12000
10040	EUR	0.005	12000
10040	YAM	NA	12000
10010	EHG	0.0	12000
10010	ANA	0.0	12000
10010	EUR	0.0057	12000
10010	YAM	NA	12000
9980	EHG	0.0	12000
9980	ANA	0.0	12000
9980	EUR	0.0063	12000
9980	YAM	NA	12000
9950	EHG	0.0	12000
9950	ANA	0.0	12000
9950	EUR	0.0072	12000
9950	YAM	NA	12000
9920	EHG	0.0	12000
9920	ANA	0.0	12000
9920	EUR	0.0083	12000
9920	YAM	NA	12000
9890	EHG	0.0	12000
9890	ANA	0.0	12000
9890	EUR	0.0078	12000
9890	YAM	NA	12000
9860	EHG	0.0	12000
9860	ANA	0.0	12000
9860	EUR	0.0083	12000
9860	YAM	NA	12000
9830	EHG	0.0	12000
9830	ANA	0.0	12000
9830	EUR	0.0093	12000
9830	YAM	NA	12000
9800	EHG	0.0	12000
9800	ANA	0.0	12000
9800	EUR	0.0107	12000
9800	YAM	NA	12000
9770	EHG	0.0	12000
9770	ANA	0.0	12000
9770	EUR	0.0103	12000
9770	YAM	NA	12000
9740	EHG	0.0	12000
9740	ANA	0.0	12000
9740	EUR	0.0103	12000
9740	YAM	NA	12000
9710	EHG	0.0	12000
9710	ANA	0.0	12000
9710	EUR	0.0111	12000
9710	YAM	NA	12000
9680	EHG	0.0	12000
9680	ANA	0.0	12000
9680	EUR	0.013	12000
9680	YAM	NA	12000
9650	EHG	0.0	12000
9650	ANA	0.0	12000
9650	EUR	0.0155	12000
9650	YAM	NA	12000
9620	EHG	0.0	12000
9620	ANA	0.0	12000
9620	EUR	0.014	12000
9620	YAM	NA	12000
9590	EHG	0.0	12000
9590	ANA	0.0	12000
9590	EUR	0.0157	12000
9590	YAM	NA	12000
9560	EHG	0.0	12000
9560	ANA	0.0	12000
9560	EUR	0.0174	12000
9560	YAM	NA	12000
9530	EHG	0.0	12000
9530	ANA	0.0	12000
9530	EUR	0.0182	12000
9530	YAM	NA	12000
9500	EHG	0.0	12000
9500	ANA	0.0	12000
9500	EUR	0.0178	12000
9500	YAM	NA	12000
9470	EHG	0.0	12000
9470	ANA	0.0	12000
9470	EUR	0.0188	12000
9470	YAM	NA	12000
9440	EHG	0.0	12000
9440	ANA	0.0	12000
9440	EUR	0.019	12000
9440	YAM	NA	12000
9410	EHG	0.0	12000
9410	ANA	0.0	12000
9410	EUR	0.019	12000
9410	YAM	NA	12000
9380	EHG	0.0	12000
9380	ANA	0.0	12000
9380	EUR	0.0213	12000
9380	YAM	NA	12000
9350	EHG	0.0	12000
9350	ANA	0.0	12000
9350	EUR	0.0235	12000
9350	YAM	NA	12000
9320	EHG	0.0	12000
9320	ANA	0.0	12000
9320	EUR	0.0247	12000
9320	YAM	NA	12000
9290	EHG	0.0	12000
9290	ANA	0.0	12000
9290	EUR	0.0293	12000
9290	YAM	NA	12000
9260	EHG	0.0	12000
9260	ANA	0.0	12000
9260	EUR	0.0307	12000
9260	YAM	NA	12000
9230	EHG	0.0	12000
9230	ANA	0.0	12000
9230	EUR	0.0327	12000
9230	YAM	NA	12000
9200	EHG	0.0	12000
9200	ANA	0.0	12000
9200	EUR	0.034	12000
9200	YAM	NA	12000
9170	EHG	0.0	12000
9170	ANA	0.0	12000
9170	EUR	0.0362	12000
9170	YAM	NA	12000
9140	EHG	0.0	12000
9140	ANA	0.0	12000
9140	EUR	0.0353	12000
9140	YAM	NA	12000
9110	EHG	0.0	12000
9110	ANA	0.0	12000
9110	EUR	0.0369	12000
9110	YAM	NA	12000
9080	EHG	0.0	12000
9080	ANA	0.0	12000
9080	EUR	0.0398	12000
9080	YAM	NA	12000
9050	EHG	0.0	12000
9050	ANA	0.0	12000
9050	EUR	0.0433	12000
9050	YAM	NA	12000
9020	EHG	0.0	12000
9020	ANA	0.0	12000
9020	EUR	0.0434	12000
9020	YAM	NA	12000
8990	EHG	0.0	12000
8990	ANA	0.0	12000
8990	EUR	0.0487	12000
8990	YAM	NA	12000
8960	EHG	0.0	12000
8960	ANA	0.0	12000
8960	EUR	0.0502	12000
8960	YAM	NA	12000
8930	EHG	0.0	12000
8930	ANA	0.0	12000
8930	EUR	0.052	12000
8930	YAM	NA	12000
8900	EHG	0.0	12000
8900	ANA	0.0	12000
8900	EUR	0.058	12000
8900	YAM	NA	12000
8870	EHG	0.0	12000
8870	ANA	0.0	12000
8870	EUR	0.0602	12000
8870	YAM	NA	12000
8840	EHG	0.0	12000
8840	ANA	0.0	12000
8840	EUR	0.0659	12000
8840	YAM	NA	12000
8810	EHG	0.0	12000
8810	ANA	0.0	12000
8810	EUR	0.0694	12000
8810	YAM	NA	12000
8780	EHG	0.0	12000
8780	ANA	0.0	12000
8780	EUR	0.0744	12000
8780	YAM	NA	12000
8750	EHG	0.0	12000
8750	ANA	0.0	12000
8750	EUR	0.0745	12000
8750	YAM	NA	12000
8720	EHG	0.0	12000
8720	ANA	0.0	12000
8720	EUR	0.0733	12000
8720	YAM	NA	12000
8690	EHG	0.0	12000
8690	ANA	0.0	12000
8690	EUR	0.0763	12000
8690	YAM	NA	12000
8660	EHG	0.0	12000
8660	ANA	0.0	12000
8660	EUR	0.0842	12000
8660	YAM	NA	12000
8630	EHG	0.0	12000
8630	ANA	0.0	12000
8630	EUR	0.0882	12000
8630	YAM	NA	12000
8600	EHG	0.0	12000
8600	ANA	0.0	12000
8600	EUR	0.095	12000
8600	YAM	NA	12000
8570	EHG	0.0	12000
8570	ANA	0.0	12000
8570	EUR	0.0984	12000
8570	YAM	NA	12000
8540	EHG	0.0	12000
8540	ANA	0.0	12000
8540	EUR	0.1044	12000
8540	YAM	NA	12000
8510	EHG	0.0	12000
8510	ANA	0.0	12000
8510	EUR	0.1109	12000
8510	YAM	NA	12000
8480	EHG	0.0	12000
8480	ANA	0.0	12000
8480	EUR	0.1232	12000
8480	YAM	NA	12000
8450	EHG	0.0	12000
8450	ANA	0.0	12000
8450	EUR	0.1326	12000
8450	YAM	NA	12000
8420	EHG	0.0	12000
8420	ANA	0.0	12000
8420	EUR	0.1401	12000
8420	YAM	NA	12000
8390	EHG	0.0	12000
8390	ANA	0.0	12000
8390	EUR	0.1541	12000
8390	YAM	NA	12000
8360	EHG	0.0	12000
8360	ANA	0.0	12000
8360	EUR	0.1718	12000
8360	YAM	NA	12000
8330	EHG	0.0	12000
8330	ANA	0.0	12000
8330	EUR	0.1818	12000
8330	YAM	NA	12000
8300	EHG	0.0	12000
8300	ANA	0.0	12000
8300	EUR	0.2006	12000
8300	YAM	NA	12000
8270	EHG	0.0	12000
8270	ANA	0.0	12000
8270	EUR	0.2152	12000
8270	YAM	NA	12000
8240	EHG	0.0	12000
8240	ANA	0.0	12000
8240	EUR	0.2277	12000
8240	YAM	NA	12000
8210	EHG	0.0	12000
8210	ANA	0.0	12000
8210	EUR	0.2442	12000
8210	YAM	NA	12000
8180	EHG	0.0	12000
8180	ANA	0.0	12000
8180	EUR	0.2579	12000
8180	YAM	NA	12000
8150	EHG	0.0	12000
8150	ANA	0.0	12000
8150	EUR	0.2723	12000
8150	YAM	NA	12000
8120	EHG	0.0	12000
8120	ANA	0.0	12000
8120	EUR	0.2867	12000
8120	YAM	NA	12000
8090	EHG	0.0	12000
8090	ANA	0.0	12000
8090	EUR	0.3049	12000
8090	YAM	NA	12000
8060	EHG	0.0	12000
8060	ANA	0.0	12000
8060	EUR	0.3222	12000
8060	YAM	NA	12000
8030	EHG	0.0	12000
8030	ANA	0.0	12000
8030	EUR	0.3363	12000
8030	YAM	NA	12000
8000	EHG	0.0	12000
8000	ANA	0.0	12000
8000	EUR	0.3527	12000
8000	YAM	0.0	12000
7970	EHG	0.0	12000
7970	ANA	0.0	12000
7970	EUR	0.3638	12000
7970	YAM	0.0	12000
7940	EHG	0.0	12000
7940	ANA	0.0	12000
7940	EUR	0.3807	12000
7940	YAM	0.0	12000
7910	EHG	0.0	12000
7910	ANA	0.0	12000
7910	EUR	0.3915	12000
7910	YAM	0.0	12000
7880	EHG	0.0	12000
7880	ANA	0.0	12000
7880	EUR	0.4094	12000
7880	YAM	0.0	12000
7850	EHG	0.0	12000
7850	ANA	0.0	12000
7850	EUR	0.4297	12000
7850	YAM	0.0	12000
7820	EHG	0.0	12000
7820	ANA	0.0	12000
7820	EUR	0.4459	12000
7820	YAM	0.0	12000
7790	EHG	0.0	12000
7790	ANA	0.0	12000
7790	EUR	0.4641	12000
7790	YAM	0.0	12000
7760	EHG	0.0	12000
7760	ANA	0.0	12000
7760	EUR	0.4885	12000
7760	YAM	0.0	12000
7730	EHG	0.0	12000
7730	ANA	0.0	12000
7730	EUR	0.5029	12000
7730	YAM	0.0	12000
7700	EHG	0.0	12000
7700	ANA	0.0	12000
7700	EUR	0.5177	12000
7700	YAM	0.0	12000
7670	EHG	0.0	12000
7670	ANA	0.0	12000
7670	EUR	0.54	12000
7670	YAM	0.0	12000
7640	EHG	0.0	12000
7640	ANA	0.0	12000
7640	EUR	0.5573	12000
7640	YAM	0.0	12000
7610	EHG	0.0	12000
7610	ANA	0.0	12000
7610	EUR	0.5786	12000
7610	YAM	0.0	12000
7580	EHG	0.0	12000
7580	ANA	0.0	12000
7580	EUR	0.6001	12000
7580	YAM	0.0	12000
7550	EHG	0.0	12000
7550	ANA	0.0	12000
7550	EUR	0.6186	12000
7550	YAM	0.0	12000
7520	EHG	0.0	12000
7520	ANA	0.0	12000
7520	EUR	0.6294	12000
7520	YAM	0.0	12000
7490	EHG	0.0	12000
7490	ANA	0.0	12000
7490	EUR	0.639	12000
7490	YAM	0.0	12000
7460	EHG	0.0	12000
7460	ANA	0.0	12000
7460	EUR	0.6503	12000
7460	YAM	0.0	12000
7430	EHG	0.0	12000
7430	ANA	0.0	12000
7430	EUR	0.6637	12000
7430	YAM	0.0	12000
7400	EHG	0.0	12000
7400	ANA	0.0	12000
7400	EUR	0.676	12000
7400	YAM	0.0	12000
7370	EHG	0.0	12000
7370	ANA	0.0	12000
7370	EUR	0.6899	12000
7370	YAM	0.0	12000
7340	EHG	0.0	12000
7340	ANA	0.0	12000
7340	EUR	0.7019	12000
7340	YAM	0.0	12000
7310	EHG	0.0	12000
7310	ANA	0.0	12000
7310	EUR	0.7203	12000
7310	YAM	0.0	12000
7280	EHG	0.0	12000
7280	ANA	0.0	12000
7280	EUR	0.7282	12000
7280	YAM	0.0	12000
7250	EHG	0.0	12000
7250	ANA	0.0	12000
7250	EUR	0.7368	12000
7250	YAM	0.0	12000
7220	EHG	0.0	12000
7220	ANA	0.0	12000
7220	EUR	0.7429	12000
7220	YAM	0.0	12000
7190	EHG	0.0	12000
7190	ANA	0.0	12000
7190	EUR	0.7443	12000
7190	YAM	0.0	12000
7160	EHG	0.0	12000
7160	ANA	0.0	12000
7160	EUR	0.7613	12000
7160	YAM	0.0	12000
7130	EHG	0.0	12000
7130	ANA	0.0	12000
7130	EUR	0.7729	12000
7130	YAM	0.0	12000
7100	EHG	0.0	12000
7100	ANA	0.0	12000
7100	EUR	0.7866	12000
7100	YAM	0.0	12000
7070	EHG	0.0	12000
7070	ANA	0.0	12000
7070	EUR	0.7851	12000
7070	YAM	0.0	12000
7040	EHG	0.0	12000
7040	ANA	0.0	12000
7040	EUR	0.7973	12000
7040	YAM	0.0	12000
7010	EHG	0.0	12000
7010	ANA	0.0	12000
7010	EUR	0.8107	12000
7010	YAM	0.0	12000
6980	EHG	0.0	12000
6980	ANA	0.0	12000
6980	EUR	0.8177	12000
6980	YAM	0.0	12000
6950	EHG	0.0	12000
6950	ANA	0.0	12000
6950	EUR	0.8291	12000
6950	YAM	0.0	12000
6920	EHG	0.0	12000
6920	ANA	0.0	12000
6920	EUR	0.8417	12000
6920	YAM	0.0	12000
6890	EHG	0.0	12000
6890	ANA	0.0	12000
6890	EUR	0.8489	12000
6890	YAM	0.0	12000
6860	EHG	0.0	12000
6860	ANA	0.0	12000
6860	EUR	0.8549	12000
6860	YAM	0.0	12000
6830	EHG	0.0	12000
6830	ANA	0.0	12000
6830	EUR	0.8625	12000
6830	YAM	0.0	12000
6800	EHG	0.0	12000
6800	ANA	0.0	12000
6800	EUR	0.8713	12000
6800	YAM	0.0	12000
6770	EHG	0.0	12000
6770	ANA	0.0	12000
6770	EUR	0.872	12000
6770	YAM	0.0	12000
6740	EHG	0.0	12000
6740	ANA	0.0	12000
6740	EUR	0.873	12000
6740	YAM	0.0	12000
6710	EHG	0.0	12000
6710	ANA	0.0	12000
6710	EUR	0.8831	12000
6710	YAM	0.0	12000
6680	EHG	0.0	12000
6680	ANA	0.0	12000
6680	EUR	0.8873	12000
6680	YAM	0.0	12000
6650	EHG	0.0	12000
6650	ANA	0.0	12000
6650	EUR	0.8942	12000
6650	YAM	0.0	12000
6620	EHG	0.0	12000
6620	ANA	0.0	12000
6620	EUR	0.9001	12000
6620	YAM	0.0	12000
6590	EHG	0.0	12000
6590	ANA	0.0	12000
6590	EUR	0.9095	12000
6590	YAM	0.0	12000
6560	EHG	0.0	12000
6560	ANA	0.0	12000
6560	EUR	0.9161	12000
6560	YAM	0.0	12000
6530	EHG	0.0	12000
6530	ANA	0.0	12000
6530	EUR	0.9146	12000
6530	YAM	0.0	12000
6500	EHG	0.0	12000
6500	ANA	0.0	12000
6500	EUR	0.9199	12000
6500	YAM	0.0	12000
6470	EHG	0.0	12000
6470	ANA	0.0	12000
6470	EUR	0.9253	12000
6470	YAM	0.0	12000
6440	EHG	0.0	12000
6440	ANA	0.0	12000
6440	EUR	0.9296	12000
6440	YAM	0.0	12000
6410	EHG	0.0	12000
6410	ANA	0.0	12000
6410	EUR	0.934	12000
6410	YAM	0.0	12000
6380	EHG	0.0	12000
6380	ANA	0.0	12000
6380	EUR	0.9363	12000
6380	YAM	0.0	12000
6350	EHG	0.0	12000
6350	ANA	0.0	12000
6350	EUR	0.9416	12000
6350	YAM	0.0	12000
6320	EHG	0.0	12000
6320	ANA	0.0	12000
6320	EUR	0.9476	12000
6320	YAM	0.0	12000
6290	EHG	0.0	12000
6290	ANA	0.0	12000
6290	EUR	0.9525	12000
6290	YAM	0.0	12000
6260	EHG	0.0	12000
6260	ANA	0.0	12000
6260	EUR	0.9533	12000
6260	YAM	0.0	12000
6230	EHG	0.0	12000
6230	ANA	0.0	12000
6230	EUR	0.9564	12000
6230	YAM	0.0	12000
6200	EHG	0.0	12000
6200	ANA	0.0	12000
6200	EUR	0.9622	12000
6200	YAM	0.0	12000
6170	EHG	0.0	12000
6170	ANA	0.0	12000
6170	EUR	0.9655	12000
6170	YAM	0.0	12000
6140	EHG	0.0	12000
6140	ANA	0.0	12000
6140	EUR	0.9677	12000
6140	YAM	0.0	12000
6110	EHG	0.0	12000
6110	ANA	0.0	12000
6110	EUR	0.9703	12000
6110	YAM	0.0	12000
6080	EHG	0.0	12000
6080	ANA	0.0	12000
6080	EUR	0.971	12000
6080	YAM	0.0	12000
6050	EHG	0.0	12000
6050	ANA	0.0	12000
6050	EUR	0.9698	12000
6050	YAM	0.0	12000
6020	EHG	0.0	12000
6020	ANA	0.0	12000
6020	EUR	0.9714	12000
6020	YAM	0.0	12000
5990	EHG	NA	12000
5990	ANA	0.0	12000
5990	EUR	0.9701	12000
5990	YAM	0.0	12000
5960	EHG	NA	12000
5960	ANA	0.0	12000
5960	EUR	0.9571	12000
5960	YAM	0.0	12000
5930	EHG	NA	12000
5930	ANA	0.0	12000
5930	EUR	0.9466	12000
5930	YAM	0.0	12000
5900	EHG	NA	12000
5900	ANA	0.0	12000
5900	EUR	0.9329	12000
5900	YAM	0.0	12000
5870	EHG	NA	12000
5870	ANA	0.0	12000
5870	EUR	0.9209	12000
5870	YAM	0.0	12000
5840	EHG	NA	12000
5840	ANA	0.0	12000
5840	EUR	0.9113	12000
5840	YAM	0.0	12000
5810	EHG	NA	12000
5810	ANA	0.0	12000
5810	EUR	0.9052	12000
5810	YAM	0.0	12000
5780	EHG	NA	12000
5780	ANA	0.0	12000
5780	EUR	0.8983	12000
5780	YAM	0.0	12000
5750	EHG	NA	12000
5750	ANA	0.0	12000
5750	EUR	0.8938	12000
5750	YAM	0.0	12000
5720	EHG	NA	12000
5720	ANA	0.0	12000
5720	EUR	0.8879	12000
5720	YAM	0.0	12000
5690	EHG	NA	12000
5690	ANA	0.0	12000
5690	EUR	0.8787	12000
5690	YAM	0.0	12000
5660	EHG	NA	12000
5660	ANA	0.0	12000
5660	EUR	0.8805	12000
5660	YAM	0.0	12000
5630	EHG	NA	12000
5630	ANA	0.0	12000
5630	EUR	0.8775	12000
5630	YAM	0.0	12000
5600	EHG	NA	12000
5600	ANA	0.0	12000
5600	EUR	0.8768	12000
5600	YAM	0.0	12000
5570	EHG	NA	12000
5570	ANA	0.0	12000
5570	EUR	0.868	12000
5570	YAM	0.0	12000
5540	EHG	NA	12000
5540	ANA	0.0	12000
5540	EUR	0.8676	12000
5540	YAM	0.0	12000
5510	EHG	NA	12000
5510	ANA	0.0	12000
5510	EUR	0.8629	12000
5510	YAM	0.0	12000
5480	EHG	NA	12000
5480	ANA	0.0	12000
5480	EUR	0.8658	12000
5480	YAM	0.0	12000
5450	EHG	NA	12000
5450	ANA	0.0	12000
5450	EUR	0.8559	12000
5450	YAM	0.0	12000
5420	EHG	NA	12000
5420	ANA	0.0	12000
5420	EUR	0.8527	12000
5420	YAM	0.0	12000
5390	EHG	NA	12000
5390	ANA	0.0	12000
5390	EUR	0.8524	12000
5390	YAM	0.0	12000
5360	EHG	NA	12000
5360	ANA	0.0	12000
5360	EUR	0.8436	12000
5360	YAM	0.0	12000
5330	EHG	NA	12000
5330	ANA	0.0	12000
5330	EUR	0.8393	12000
5330	YAM	0.0	12000
5300	EHG	NA	12000
5300	ANA	0.0	12000
5300	EUR	0.8381	12000
5300	YAM	0.0	12000
5270	EHG	NA	12000
5270	ANA	0.0	12000
5270	EUR	0.8371	12000
5270	YAM	0.0	12000
5240	EHG	NA	12000
5240	ANA	0.0	12000
5240	EUR	0.8344	12000
5240	YAM	0.0	12000
5210	EHG	NA	12000
5210	ANA	0.0	12000
5210	EUR	0.8263	12000
5210	YAM	0.0	12000
5180	EHG	NA	12000
5180	ANA	0.0	12000
5180	EUR	0.8228	12000
5180	YAM	0.0	12000
5150	EHG	NA	12000
5150	ANA	0.0	12000
5150	EUR	0.8233	12000
5150	YAM	0.0	12000
5120	EHG	NA	12000
5120	ANA	0.0	12000
5120	EUR	0.8218	12000
5120	YAM	0.0	12000
5090	EHG	NA	12000
5090	ANA	0.0	12000
5090	EUR	0.818	12000
5090	YAM	0.0	12000
5060	EHG	NA	12000
5060	ANA	0.0	12000
5060	EUR	0.8225	12000
5060	YAM	0.0	12000
5030	EHG	NA	12000
5030	ANA	0.0	12000
5030	EUR	0.822	12000
5030	YAM	0.0	12000
5000	EHG	NA	12000
5000	ANA	0.0	12000
5000	EUR	0.8222	12000
5000	YAM	0.0	12000
4970	EHG	NA	12000
4970	ANA	0.0	12000
4970	EUR	0.833798	12000
4970	YAM	0.0	12000
4940	EHG	NA	12000
4940	ANA	0.0	12000
4940	EUR	0.842324	12000
4940	YAM	0.0	12000
4910	EHG	NA	12000
4910	ANA	0.0	12000
4910	EUR	0.848608	12000
4910	YAM	0.0	12000
4880	EHG	NA	12000
4880	ANA	0.0	12000
4880	EUR	0.853757	12000
4880	YAM	0.0	12000
4850	EHG	NA	12000
4850	ANA	0.0	12000
4850	EUR	0.863957	12000
4850	YAM	0.0	12000
4820	EHG	NA	12000
4820	ANA	0.0	12000
4820	EUR	0.869001	12000
4820	YAM	0.0	12000
4790	EHG	NA	12000
4790	ANA	0.0	12000
4790	EUR	0.881679	12000
4790	YAM	0.0	12000
4760	EHG	NA	12000
4760	ANA	0.0	12000
4760	EUR	0.890888	12000
4760	YAM	0.0	12000
4730	EHG	NA	12000
4730	ANA	0.0	12000
4730	EUR	0.900289	12000
4730	YAM	0.0	12000
4700	EHG	NA	12000
4700	ANA	0.0	12000
4700	EUR	0.908193	12000
4700	YAM	0.0	12000
4670	EHG	NA	12000
4670	ANA	0.0	12000
4670	EUR	0.912591	12000
4670	YAM	0.0	12000
4640	EHG	NA	12000
4640	ANA	0.0	12000
4640	EUR	0.913225	12000
4640	YAM	0.0	12000
4610	EHG	NA	12000
4610	ANA	0.0	12000
4610	EUR	0.916904	12000
4610	YAM	0.0	12000
4580	EHG	NA	12000
4580	ANA	0.0	12000
4580	EUR	0.922061	12000
